,P1,P2,P3,P4,P5,P6,P7,P8,P9,Points,salary,variance,stdev
59,Russell Martin,Steven Moya,Miguel Cabrera,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Nelson Cruz,Bryce Harper,112.969833333,34900.0,647.997503408,25.455795085
60,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jed Lowrie,Josh Reddick,Rich Hill,Nick Hundley,Nolan Arenado,Bryce Harper,112.9605,35000.0,603.987008798,24.5761471512
61,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Nomar Mazara,Jason Kipnis,Rich Hill,Nolan Arenado,Bryce Harper,112.958466667,34700.0,578.418768588,24.0503382219
62,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Rich Hill,Nolan Arenado,Jayson Werth,Bryce Harper,112.953366667,34800.0,543.519266995,23.3134996728
63,Steven Moya,Miguel Cabrera,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.953033333,34800.0,683.166998019,26.1374634963
64,Troy Tulowitzki,Prince Fielder,Nomar Mazara,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.9472,34900.0,509.627259042,22.5749254493
65,Troy Tulowitzki,Steven Moya,Prince Fielder,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.9443,34400.0,508.896413382,22.5587325305
66,Troy Tulowitzki,Prince Fielder,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Jayson Werth,Bryce Harper,112.9421,35000.0,493.306003967,22.210493105
67,Steven Moya,Miguel Cabrera,Nomar Mazara,Starlin Castro,Brian McCann,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.940233333,34900.0,494.63576587,22.2404084016
68,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Carlos Gonzalez,Anthony Rendon,Bryce Harper,112.9394,34900.0,474.772791607,21.7892815762
69,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Rich Hill,Trevor Story,Nolan Arenado,Jayson Werth,Bryce Harper,112.935133333,35000.0,625.349486133,25.0069887458
70,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Evan Gattis,Rich Hill,Nolan Arenado,Nelson Cruz,Bryce Harper,112.933333333,34900.0,551.244129149,23.4785887384
71,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Salvador Perez,Bryce Harper,112.929266667,34600.0,507.228340567,22.5217304079
